Kecamatan,Jumlah_Surat,Jumlah_Penduduk
Asem Rowo,41,85
Benowo,49,96
Bubutan,115,242
Bulak,49,87
Dukuh Pakis,52,110
Gayungan,51,93
Genteng,79,156
Gubeng,155,301
Gunung Anyar,54,96
Jambangan,44,69
Karang Pilang,77,141
Kenjeran,179,359
Krembangan,137,288
Lakarsantri,56,106
Mulyorejo,98,183
Pabean Cantian,93,175
Pakal,52,77
Rungkut,116,208
Sambikerep,50,104
Sawahan,211,414
Semampir,222,412
Simokerto,117,204
Sukolilo,128,238
Sukomanunggal,115,241
Tambaksari,268,517
Tandes,88,187
Tegalsari,115,225
Tenggilis Mejoyo,58,107
Wiyung,62,111
Wonocolo,101,182
Wonokromo,189,367
Grand Total,3221,6181
